Rank,Released,Movie,Worldwide,"Domestic
 Box Office","International
 Box Office",Genre
1,2019,Avengers: Endgame,2797800564,858373000,1939427564,Superhero
2,2009,Avatar,2788701337,760507625,2028193712,Sci-Fi
3,2018,Avengers: Infinity War,2048359754,678815482,1369544272,Superhero
4,2015,Jurassic World,1670400637,652270625,1018130012,Sci-Fi
5,2012,The Avengers,1518812988,623357910,895455078,Superhero
6,2015,Furious 7,1518722794,353007020,1165715774,Thriller
7,2015,Avengers: Age of Ultron,1403013963,459005868,944008095,Superhero
8,2018,Black Panther,1346913161,700059566,646853595,Superhero
9,2018,Jurassic World: Fallen Kingdom,1308470988,417719760,890751228,Sci-Fi
10,2017,The Fate of the Furious,1238764765,225764765,1013000000,Thriller
11,2013,Iron Man 3,1215392272,408992272,806400000,Superhero
12,2016,Captain America: Civil War,1153284349,408084349,745200000,Superhero
13,2018,Aquaman,1146894640,335061807,811832833,Superhero
14,2019,Captain Marvel,1129729839,426829839,702900000,Superhero
15,2019,Spider-Man: Far From Home,1128991628,390532085,738459543,Superhero
16,2011,Transformers: Dark of the Moon,1123794079,352390543,771403536,Sci-Fi
17,2012,Skyfall,1110526981,304360277,806166704,Spy
18,2014,Transformers: Age of Extinction,1104054072,245439076,858614996,Sci-Fi
19,2012,The Dark Knight Rises,1084439099,448139099,636300000,Superhero
20,1993,Jurassic Park,1045627627,402523348,643104279,Sci-Fi
21,2008,The Dark Knight,1003509293,535234033,468275260,Superhero
22,2017,Spider-Man: Homecoming,880166350,334201140,545965210,Superhero
23,2015,Spectre,879620923,200074175,679546748,Spy
24,2016,Batman v Superman: Dawn of Justice,873634919,330360194,543274725,Superhero
25,2017,Guardians of the Galaxy Vol 2,869113101,389813101,479300000,Superhero
26,2017,Thor: Ragnarok,853958289,315058289,538900000,Superhero
27,2018,Venom,853628605,213511408,640117197,Superhero
28,2009,Transformers: Revenge of the Fallen,836519699,402111870,434407829,Sci-Fi
29,2017,Zhan Lang 2,830794171,2721100,828073071,Thriller
30,2017,Wonder Woman,821133378,412563408,408569970,Superhero
31,2013,Fast and Furious 6,789300444,238679850,550620594,Thriller
32,2018,Mission: Impossible—Fallout,787456552,220159104,567297448,Spy
33,2018,Deadpool 2,786680557,324591735,462088822,Superhero
34,2016,Deadpool,785025593,363070709,421954884,Superhero
35,2014,Guardians of the Galaxy,772772112,333172112,439600000,Superhero
36,2019,Fast & Furious Presents: Hobbs & Shaw,760582290,173956935,586625355,Thriller
37,2009,2012,757677748,166112167,591565581,Sci-Fi
38,2014,X-Men: Days of Future Past,747862775,233921534,513941241,Superhero
39,2016,Suicide Squad,746059887,325100054,420959833,Superhero
40,2003,The Matrix Reloaded,738576929,281553689,457023240,Sci-Fi
41,2014,Captain America: The Winter Soldier,714401889,259746958,454654931,Superhero
42,2014,The Amazing Spider-Man 2,708996336,202853933,506142403,Superhero
43,2007,Transformers,708272592,319246193,389026399,Sci-Fi
44,2011,Mission: Impossible—Ghost Protocol,694713230,209397903,485315327,Spy
45,2019,Liu Lang Di Qiu,688934822,5875487,683059335,Thriller
46,2015,Mission: Impossible—Rogue Nation,688858992,195042377,493816615,Spy
47,2016,Doctor Strange,676404566,232641920,443762646,Superhero
48,2013,Man of Steel,667999518,291045518,376954000,Superhero
49,2017,Justice League,655945209,229024295,426920914,Superhero
50,2013,Thor: The Dark World,644602516,206362140,438240376,Superhero
51,2011,Fast Five,630163454,210031325,420132129,Thriller
52,2008,Hancock,624234272,227946274,396287998,Superhero
53,2018,Ant-Man and the Wasp,623144660,216648740,406495920,Superhero
54,2010,Iron Man 2,621156389,312433331,308723058,Superhero
55,1997,The Lost World: Jurassic Park,618638999,229086679,389552320,Sci-Fi
56,2017,Logan,615461394,226277068,389184326,Superhero
57,2005,War of the Worlds,606836535,234280354,372556181,Sci-Fi
58,2017,Transformers: The Last Knight,602893340,130168683,472724657,Sci-Fi
59,2006,Casino Royale,594420283,167365000,427055283,Spy
60,2008,Quantum of Solace,591692078,169368427,422323651,Sci-Fi
61,2000,Mission: Impossible 2,549588516,215409889,334178627,Spy
62,2018,Tang Ren Jie Tan An 2,544068574,1983984,542084590,Thriller
63,2016,X-Men: Apocalypse,542537546,155442489,387095057,Superhero
64,2011,Sherlock Holmes: A Game of Shadows,535663443,186848418,348815025,Spy
65,2018,Hong Hai Xing Dong,533601535,1543547,532057988,Thriller
66,2013,World War Z,531514650,202359711,329154939,Sci-Fi
67,2018,The Meg,529530715,145443742,384086973,Thriller
68,2014,Godzilla,529076069,200676069,328400000,Thriller
69,2017,Dunkirk,527268280,190068280,337200000,War
70,2015,Ant-Man,518858449,180202163,338656286,Superhero
71,1991,Terminator 2: Judgment Day,515392660,203464105,311928555,Sci-Fi
72,1996,Twister,495700000,241688385,254011615,Thriller
73,2010,Clash of the Titans,493214888,163214888,330000000,Thriller
74,2017,War for the Planet of the Apes,489592267,146880162,342712105,Thriller
75,2005,Mr. and Mrs. Smith,486124090,186336279,299787811,Thriller
76,2004,Troy,483152040,133298577,349853463,War
77,1999,The Matrix,465421959,173396389,292025570,Sci-Fi
78,2006,X-Men: The Last Stand,459260946,234362462,224898484,Superhero
79,1996,Mission: Impossible,457697994,180981886,276716108,Spy
80,2000,Gladiator,457683805,187683805,270000000,War
81,2014,Lucy,457507776,126573960,330933816,Sci-Fi
82,2003,The Last Samurai,456810575,111110575,345700000,War
83,2007,300,454161935,210614939,243546996,War
84,2011,Thor,449326618,181030624,268295994,Superhero
85,2001,Pearl Harbor,449239853,198539855,250699998,War
