Position,,,,Title,,,,Rating,Runtime (mins),Year,Genre,Votes,Release,Directors
1,,,,The Dark Knight,,,,9,152,2008,Superhero,2195576,2008-07-14,Christopher Nolan
101,,,,The Lord of the Rings: Return of the King,,,,8.9,201,2003,Thriller,1573822,2003-12-17,Peter Jackson
2,,,,Inception,,,,8.8,148,2010,Sci-Fi,1946645,2010-07-08,Christopher Nolan
8,,,,The Matrix,,,,8.7,136,1999,Sci-Fi,1595629,1999-03-24,"Lilly Wachowski, Lana Wachowski"
25,,,,Star Wars,,,,8.6,121,1977,Sci-Fi,1182568,1977-05-25,George Lucas
4,,,,Gladiator,,,,8.5,155,2000,Thriller,1279490,2000-05-01,Ridley Scott
5,,,,Terminator 2: Judgment Day,,,,8.5,137,1991,Sci-Fi,956956,1991-07-01,James Cameron
11,,,,Léon,,,,8.5,110,1994,Thriller,983684,1994-09-14,Luc Besson
52,,,,Avengers: Infinity War,,,,8.5,149,2018,Superhero,762697,2018-04-23,"Anthony Russo, Joe Russo"
7,,,,The Dark Knight Rises,,,,8.4,164,2012,Superhero,1452581,2012-07-16,Christopher Nolan
23,,,,Avengers: Endgame,,,,8.4,181,2019,Superhero,697115,2019-04-22,"Anthony Russo, Joe Russo"
27,,,,Raiders of the Lost Ark,,,,8.4,115,1981,Thriller,848461,1981-06-12,Steven Spielberg
34,,,,Oldeuboi,,,,8.4,120,2003,Spy,487641,2003-11-21,Chan-wook Park
31,,,,Aliens,,,,8.3,137,1986,Sci-Fi,627195,1986-07-14,James Cameron
18,,,,Die Hard,,,,8.2,132,1988,Thriller,754696,1988-07-12,John McTiernan
20,,,,Indiana Jones and the Last Crusade,,,,8.2,127,1989,Thriller,663471,1989-05-24,Steven Spielberg
24,,,,V for Vendetta,,,,8.2,132,2005,Sci-Fi,990174,2005-12-11,James McTeigue
26,,,,Batman Begins,,,,8.2,140,2005,Superhero,1253041,2005-05-31,Christopher Nolan
3,,,,Kill Bill: Vol. 1,,,,8.1,111,2003,Thriller,956709,2003-09-29,Quentin Tarantino
16,,,,Mad Max: Fury Road,,,,8.1,120,2015,Sci-Fi,831212,2015-05-07,George Miller
42,,,,Rush,,,,8.1,123,2013,Thriller,413254,2013-09-02,Ron Howard
6,,,,The Bourne Ultimatum,,,,8,115,2007,Spy,591586,2007-07-25,Paul Greengrass
13,,,,Kill Bill: Vol. 2,,,,8,137,2004,Thriller,653908,2004-04-08,Quentin Tarantino
14,,,,Casino Royale,,,,8,144,2006,Spy,561007,2006-11-14,Martin Campbell
17,,,,The Revenant,,,,8,156,2015,Thriller,667067,2015-12-16,Alejandro G. Iñárritu
28,,,,The Terminator,,,,8,107,1984,Sci-Fi,769624,1984-10-26,James Cameron
43,,,,The Avengers,,,,8,143,2012,Superhero,1225348,2012-04-11,Joss Whedon
62,,,,Deadpool,,,,8,108,2016,Superhero,866191,2016-01-21,Tim Miller
69,,,,Guardians of the Galaxy,,,,8,121,2014,Superhero,1005903,2014-07-21,James Gunn
90,,,,Pirates of the Caribbean: The Curse of the Black Pearl,,,,8,143,2003,Thriller,989594,2003-06-28,Gore Verbinski
93,,,,Pirates of the Caribbean: The Curse of the Black Pearl,,,,8,143,2003,Thriller,989594,2003-06-28,Gore Verbinski
32,,,,Dunkirk,,,,7.9,106,2017,War,510690,2017-07-13,Christopher Nolan
58,,,,Edge of Tomorrow,,,,7.9,113,2014,Sci-Fi,573975,2014-05-28,Doug Liman
72,,,,Ying xiong,,,,7.9,107,2002,Thriller,170100,2002-10-24,Yimou Zhang
75,,,,Star Trek,,,,7.9,127,2009,Sci-Fi,566974,2009-04-06,J.J. Abrams
9,,,,Avatar,,,,7.8,162,2009,Sci-Fi,1085944,2009-12-10,James Cameron
12,,,,Hot Fuzz,,,,7.8,121,2007,Spy,444836,2007-02-13,Edgar Wright
15,,,,Apocalypto,,,,7.8,139,2006,Thriller,279672,2006-12-08,Mel Gibson
19,,,,The Fugitive,,,,7.8,130,1993,Thriller,255995,1993-07-29,Andrew Davis
40,,,,Taken,,,,7.8,90,2008,Thriller,551686,2008-02-27,Pierre Morel
46,,,,Bonnie and Clyde,,,,7.8,111,1967,Thriller,98283,1967-08-04,Arthur Penn
79,,,,The Boondock Saints,,,,7.8,108,1999,Thriller,222219,1999-08-04,Troy Duffy
91,,,,Predator,,,,7.8,107,1987,Sci-Fi,358415,1987-06-12,John McTiernan
22,,,,The Magnificent Seven,,,,7.7,128,1960,Thriller,84188,1960-10-12,John Sturges
51,,,,The Bourne Supremacy,,,,7.7,108,2004,Spy,420592,2004-07-16,Paul Greengrass
